key,value
933635,4258
528084,4785
125721,1988
609826,4991
425039,2603
545515,3939
659576,4181
824824,4340
768106,2891
645800,1273
379294,4831
289687,4444
896786,2612
866310,2500
830527,4362
667469,2912
38702,3074
93127,4904
596231,1635
26920,2806
245844,1824
682360,3585
548163,4798
804839,2900
242190,4777
219247,1037
560166,2634
491833,1112
684095,1166
302361,1281
601692,2635
19115,4399
670704,2299
116435,3864
261631,4366
711594,2433
740500,2502
670411,1938
860222,3220
446587,4458
957467,3266
682035,1646
244731,3683
164507,4269
526943,4055
491580,1371
295781,4460
182859,2770
209544,2608
89137,2116
71285,4953
807098,2336
150106,3741
791373,4812
148262,2900
955519,1619
843189,1967
286258,1469
862827,4191
974438,2876
630857,2068
463636,4750
915153,2065
734851,3502
323046,3542
559785,2771
870900,2613
903159,3298
316826,3834
71589,4037
182240,3719
192305,3645
526026,1633
73228,4806
502994,2252
28421,2183
682906,2592
410345,4324
345183,4347
893903,4637
276412,1564
985404,4349
386220,3232
916684,4326
881950,2704
512583,2115
871650,2722
79895,4172
252877,1771
369722,2979
253554,1482
71343,4296
673908,2521
537893,3351
710205,2458
349239,1875
184198,1218
381785,4622
70266,2339
55657,1663
37228,1009
912654,4520
982816,2579
256885,4303
248559,2777
554631,1790
981944,1533
618157,3390
691316,1952
646954,3573
494644,3049
129518,3216
807882,2722
11611,4756
729499,3545
150671,1264
8140,4604
848541,4306
434990,1559
769721,2283
413785,2494
926036,3780
357272,1943
765626,1020
592901,2629
587880,1863
252806,2708
779494,1683
899752,1362
394134,1685
790026,1277
179737,2021
303624,1196
464374,1022
364816,3849
8910,3232
237200,3185
797868,4565
21576,4649
397774,3233
674912,4868
742852,1468
784980,3952
77224,2427
881756,4776
774962,4330
617273,4819
713291,4064
959667,4101
293896,4408
791596,4818
158834,4799
950454,4512
106974,4223
862066,2511
359614,1722
889370,3749
257252,3525
199182,4318
14630,3727
460881,2268
945285,2048
149941,3099
980425,1746
688821,3591
650845,2250
977791,3980
462416,4929
124526,4026
220092,1093
353508,1954
243676,1137
613229,3284
279374,2655
494441,2377
637019,3937
371099,3063
466357,2841
336489,2192
531146,3079
519175,2964
987511,1125
434134,2539
15800,3427
98506,1227
282874,3548
961333,2663
828185,4835
602379,4409
253842,1963
568470,4361
876740,1794
67677,2720
68771,4782
891485,4876
524570,1276
247115,4717
833754,4387
307565,4609
906009,4167
855130,2890
97231,1764
853941,1401
313032,1621
747049,1497
626827,2089
211969,2733
857766,3309
863987,4209
184621,1744
931980,4013
227773,3248
563420,1722
344322,1171
618590,2110
803422,4597
789709,3007
146673,2627
639048,3170
879659,1509
853996,1908
282645,4997
670265,4096
258638,2691
367386,4357
543588,3692
455693,2550
877041,4771
59074,1174
52766,1169
186757,2685
397442,4182
931998,2028
360494,1880
216237,2640
971996,3253
281796,4948
461734,1266
204843,3867
431148,1907
861245,2381
458096,2338
501946,1565
419444,2439
878867,1462
436877,3915
172834,3754
889299,1739
245324,3901
928914,4172
790703,1170
848609,2150
677336,3436
658,1454
949714,2808
704337,3674
751046,2036
393031,1753
708310,2381
341941,3455
620778,1052
526131,4762
140785,4912
668343,1046
133074,4409
460568,4352
877399,2177
158830,3736
898481,3595
828090,2164
943617,1973
149337,1210
207772,4156
123993,2048
232948,4183
492783,1826
680772,3867
235523,1611
765975,4750
794631,4303
22390,1649
765146,4858
691251,4610
314374,2403
848780,1857
345633,4477
432247,4419
763754,4637
360433,3034
825603,3805
677615,4924
185056,3127
260017,3265
772622,4319
399803,1887
392179,2626
431082,1841
21827,3399
566231,1770
504997,2009
347753,1422
931093,1827
617951,2942
360317,4485
735045,2750
355091,4544
145409,4026
995398,3886
391149,1126
831822,4496
501236,1809
936023,4954
846253,4966
759430,1878
549833,3902
39680,4345
320863,2834
973100,1072
995962,3201
291913,4180
482173,4753
750680,3040
364687,2414
861727,4071
468871,3343
871848,1754
522878,3684
448103,1426
869098,3115
454099,2304
569525,1300
739872,3003
548686,2737
751440,4429
14392,1268
51220,2819
370090,2328
373193,1916
968051,2560
156468,3023
445694,4591
68867,2780
257418,2818
696541,1394
285072,1467
704448,3758
860490,4226
458244,2133
910898,1595
807489,2728
412929,1581
698025,2064
212237,3796
500012,3518
243706,3150
413915,1407
772487,4030
570179,4559
831531,2072
524390,1408
6934,4998
196019,1387
669862,4386
694303,1583
666100,1557
372646,4789
946754,2993
334096,3746
600477,4008
609440,1823
489686,2077
137799,2375
508885,4255
552222,2385
461072,3807
569813,1766
102704,3941
393637,2763
612365,4163
937736,3039
775848,1835
796782,3367
711698,3339
815024,1445
774549,3959
102553,1154
610384,4208
82321,1633
609821,4711
685947,2693
576858,4727
182637,4044
352151,4001
530103,3742
648256,2647
760234,1111
193453,1569
853657,1542
571915,4487
83931,1547
985083,1307
665795,1771
768659,3568
919544,3426
167112,3452
685949,4771
4394,1177
395457,4985
31763,2349
62389,4068
410145,2064
33170,4117
100632,2790
876475,2732
956968,1072
403837,3159
249696,4442
243373,2950
612241,3239
158695,1327
53855,4070
759591,3614
127742,3591
576242,4054
462591,2753
568364,2141
794480,1757
796931,3899
664605,2578
508192,1257
369395,4457
849153,2994
432038,2028
144793,3314
570532,1123
462089,1656
104291,3793
593509,1719
605588,2282
224563,4859
903629,3535
424182,2064
394026,4560
419259,2178
822744,3444
532442,4071
262037,4107
150328,4275
446691,1551
834972,1443
245180,1588
1123,3776
652199,2992
660474,4567
119476,2481
570636,1340
645387,2636
511878,4623
961178,2339
808170,2127
440663,1856
799879,2255
629682,3840
377235,1316
100287,2205
626411,3358
187979,1104
528429,1431
807116,4529
405376,4262
430250,4492
476612,2964
950168,1343
250189,1524
256503,1549
775009,4680
153650,4707
41069,1275
549061,4161
499569,4740
517527,2845
51615,1864
110405,4252
206827,3885
616581,4420
214203,1786
718764,2622
228239,3050
75433,4559
813711,1691
468174,4558
787015,1251
112761,4122
382653,3665
667101,3881
871057,1269
427678,4397
124010,3629
465759,3501
740883,4559
606521,4973
529807,4546
645693,1562
515890,1885
83737,2190
527601,3644
163651,1238
590138,3934
850340,1698
78737,4069
164978,2069
815795,4275
470258,2488
979538,3436
533556,1814
434889,4894
33740,2708
443851,3417
934919,2713
447244,4886
879255,2692
813250,2541
803554,3325
302815,3236
723948,4036
986593,3725
512373,3704
721399,4879
73889,2172
81007,3776
685026,4166
609281,2444
42447,3021
791823,2220
885313,4124
139120,1778
555571,1592
120797,2944
696296,2164
402274,1895
521519,2018
654717,1937
165847,2333
303636,3580
589195,3610
735462,1812
834815,4433
439077,4064
862226,4764
325713,4327
282844,2434
831959,3602
546583,3328
218529,3259
378420,2503
799136,4109
122641,1797
236761,3461
858350,2049
296883,1898
426616,4315
387221,3566
811875,2245
871590,2427
834836,3943
42386,3461
233705,1565
4942,1453
30756,3765
607695,2358
708650,3107
826823,4836
272545,4376
882993,2770
493693,2434
461342,4313
213119,2343
236965,3200
119577,4985
769363,4013
328286,1381
675456,1470
824644,1783
557153,1146
116552,4470
733789,3675
997159,2930
333005,1447
810068,3026
528378,1918
959826,2501
18985,3098
431783,1974
38755,3155
222960,2307
609029,1190
558424,1820
909003,1483
451124,3078
517234,3004
386459,3595
307371,4817
673449,3389
653663,2411
912706,4540
99243,2417
159946,1665
968121,1423
811639,1387
253390,4965
59810,1184
150608,2043
871239,1958
572348,2444
83723,3258
832060,3504
310156,3134
974148,4562
943827,4170
972780,3172
506937,1835
808354,3989
497257,1459
381364,1238
205132,2963
614194,2574
729890,2232
471409,3217
631086,1805
668757,2060
171849,2827
764069,2318
272716,2226
191352,2711
500189,3002
816809,2955
279325,1427
445349,3876
288223,2977
706743,3995
967840,3697
593081,4184
25060,2633
906979,4089
985361,1234
217812,3740
185757,2634
389261,4044
316437,1002
775289,1614
453038,1654
991789,4413
88101,3254
964895,3390
626961,3533
218788,1183
411521,3051
813755,1523
249426,2330
134087,1598
328890,3086
653677,1874
676878,1813
732575,4835
597766,1619
451311,3618
3265,2731
26873,2564
74634,4258
507272,2170
305983,1299
211772,1046
328635,4030
688851,3781
677641,1066
407047,4624
846451,1582
785417,2753
774039,4525
869442,4138
383317,1929
289831,1143
113708,3174
753624,3445
719919,4441
668473,2619
453030,1917
873482,2107
50959,2292
547836,2019
864826,2128
561983,4823
414677,4904
800964,3801
75286,3742
365124,3494
909659,3777
732223,4470
411832,3999
362437,3069
533241,1769
870485,2505
709861,3149
713422,3594
92905,3238
840659,3618
182907,2932
684438,1354
554934,4963
192303,4803
728306,2202
700281,2954
43171,2612
133442,1700
790864,4588
103057,3068
23193,3762
499776,1894
159534,2504
367095,3312
498059,4129
379067,2906
529241,1736
28983,4435
154862,1573
165621,3315
642065,1995
735001,1192
730725,2835
750653,1703
977855,2756
887036,2289
391478,1558
346606,3421
867764,1610
711408,4537
12579,4699
312308,1133
329473,1534
897908,2169
118839,1212
492583,4419
41952,1325
60001,4249
641649,4261
759724,4545
929493,4205
456865,4597
693490,1784
259497,2175
470238,2222
168587,4772
323775,2062
524465,2081
530213,1438
556672,3983
220556,1267
65274,3034
448848,3848
882193,4964
994648,4223
935800,1651
591587,3161
732345,1624
75372,1789
693965,4125
65566,1174
96505,2308
817484,3254
117954,1382
24919,3698
879395,4139
340287,2154
619604,2647
9385,4982
472638,1149
746940,3607
856654,2866
16314,2201
129750,1033
205089,3539
326594,1766
314394,2467
155559,1032
973428,1438
333759,4110
666805,4501
858756,1420
465019,1081
21108,2155
188615,4891
148597,1292
114083,1607
448528,4080
507854,1343
935614,4071
561806,1896
760992,4242
877816,1209
698219,2426
662157,4950
50097,1082
616143,1204
991949,1795
226294,4884
245341,3798
925085,3583
346617,1735
259160,3334
746078,2336
31271,4385
100488,4134
823375,3792
174578,3550
131178,3706
564213,4590
316178,3591
698724,2344
35776,1315
662344,1612
677813,1870
914683,3705
221650,3826
666703,4850
405821,4565
907437,3146
559242,4509
335462,4391
846682,2589
612503,3139
953168,2230
647022,2514
294089,3922
34738,3322
956005,3502
920930,2961
512213,1375
826245,2559
430490,4776
752337,4244
546786,1627
308897,3361
358495,1502
122316,2087
108649,3920
196758,3168
40416,4927
998384,3233
308144,3771
593521,1332
634559,2938
192241,4338
980023,1480
649839,4116
930855,4880
325025,4095
239960,2580
674865,3065
390642,3066
249257,2431
467577,3244
930497,3624
863517,1574
492179,2381
118645,1203
714211,2911
235865,2177
359567,2382
263257,3875
636448,4999
439768,1553
138957,3321
810360,2294
798427,4070
645224,4460
376593,2148
851004,3660
423421,1158
589880,1127
94008,3659
79800,2790
100774,3943
429269,2848
916838,2515
74213,2359
767788,1078
369605,3690
88345,1298
154342,4111
489418,2883
335679,3411
725816,1705
698221,3301
125726,3204
645735,4193
912840,3700
38906,4887
569710,2626
469851,1924
580498,4615
390338,3902
992582,1475
622493,1275
953547,2369
261112,4347
90408,3901
347952,3078
974291,2782
120166,4326
510090,4513
299349,4452
829723,3450
887541,3371
276467,2248
323244,2714
718362,2330
382435,3970
70427,1997
338037,4572
814196,3269
518799,4384
216945,2553
736190,4983
315611,3155
805310,3035
57219,2496
844849,2574
364834,2408
139315,1744
534941,1655
380358,4272
757938,4739
634727,1974
275068,2088
969072,1347
380435,2098
319645,3426
491319,2116
204264,4646
909579,3640
906300,1716
313047,3810
578903,4019
144330,2057
580688,2041
798727,4028
293161,3659
870901,4642
18179,1369
957586,4555
387324,1521
104494,1179
563246,2860
842113,1826
101773,3252
637317,1188
167688,3024
453978,4067
270940,3869
312476,2649
401715,1849
310227,4600
768551,2542
594622,1870
23923,2624
619540,1536
949734,2903
671110,3563
399259,3459
470980,1788
614045,4350
340943,3466
944174,3848
427834,1034
40223,4984
673606,2060
274264,3148
353820,3780
596058,3774
769949,1658
95152,4995
852511,3817
327340,1345
549848,3601
304223,1570
120201,1514
267627,2444
363974,3239
966632,4991
71780,1368
442172,1084
723301,3295
999306,3666
953082,2988
805174,4140
455278,4785
557863,3418
375395,1514
319105,2736
577035,1408
963962,4375
511538,4317
974638,4925
859518,1983
413744,1933
412497,1924
89960,2302
776595,2824
123143,1235
57221,3075
805822,2936
979093,1783
440442,2567
771453,1846
933464,4760
868193,4001
220118,3421
131070,4381
746340,4792
165462,1250
755151,3756
424729,2418
856963,2336
83018,4645
651906,1504
806130,3493
123660,1162
608095,2046
547696,3971
351412,1371
964095,2850
698488,3165
146563,4827
519983,4625
724902,3252
284504,1911
396359,4559
688469,1601
44808,4774
681018,4956
221591,1300
572883,3117
282567,3386
479712,4013
137897,4903
603696,2175
740027,3885
12884,2338
572584,1997
60053,2717
167254,3520
625694,1784
965747,2562
303574,4345
541407,1528
818645,3941
52854,2686
555426,3744
83319,2965
838117,3127
151679,4266
951996,4714
704684,3290
24989,4423
906632,1536
984711,2861
580893,4961
777847,4818
511044,4541
346696,2670
996822,3561
504655,3942
932870,2723
482240,4377
402719,4978
750890,3199
93512,3441
279950,3670
799347,4277
34245,4256
288163,1092
668759,4472
252054,2032
554139,3891
39851,2920
52704,4287
601940,2952
804458,1009
580583,4206
101133,4138
536502,3390
637015,2101
212246,1134
530665,2077
11623,4297
171052,4181
903538,1563
35036,3365
116780,2078
242918,3817
848693,3184
168909,1654
624837,1095
965695,4363
848598,2471
292977,1798
492761,3699
690651,4619
993226,4147
518884,4778
476974,1090
924487,2162
687716,2741
932395,1078
941004,1338
683252,4874
905820,2344
596352,3539
416427,3492
696304,4203
661759,2576
49457,4168
265355,2074
127113,4080
461571,2817
243732,1553
27897,2572
607761,2694
138294,1610
188663,1395
458316,3627
261952,3323
580396,4004
183319,2526
956761,4852
615361,2089
711082,1243
699171,4907
758902,1297
475242,3109
695553,4359
212921,3701
639453,4230
482817,1635
417624,3907
454252,1135
873924,4246
211036,2660
330576,4770
774097,4799
61572,3223
701702,4852
414918,2835
944797,3788
355374,1852
104271,4943
685122,3415
392164,1318
262183,4398
344614,4147
170935,4291
548936,3763
935829,4824
118486,1180
396635,2827
676544,2399
740205,3000
304389,1719
567929,2910
733308,3184
599967,3896
629961,4208
802511,4549
19485,2345
612115,1387
929881,1327
375671,2285
987532,1128
792951,1218
774543,1594
535807,3518
661338,4997
996702,1025
547941,2514
77866,2490
300958,4738
637536,3958
350543,1631
935183,1103
41623,1436
559593,3149
317770,3811
953993,2158
523581,3911
846527,3361
842908,4828
777162,4961
695828,3383
489255,4754
926208,1296
437080,2764
47814,4442
765586,2426
346685,4782
927101,2699
15074,4681
233806,4183
158655,3558
373803,4330
626249,4522
82905,2967
239294,3613
473107,3099
226381,4128
410858,1348
434743,1695
874126,2240
86939,2128
368300,1615
47706,4611
589394,4059
426354,1853
996734,3334
127484,4602
762129,2955
514148,2487
85074,2455
926671,2324
211078,2973
631954,3823
30597,1793
995085,4808
745977,1023
493225,2460
130795,1715
241968,4964
103013,4352
882058,2208
92392,1992
330011,3303
439905,3895
123876,1432
278120,4339
155965,2245
602163,2814
120201,4564
498443,5000
649393,2850
221423,3836
81349,4645
44146,2026
652982,1058
986281,4173
88002,4169
860426,1677
354497,2619
663,2914
575737,1826
709074,1117
830663,1218
943377,3376
744015,2253
130718,1584
722749,2726
712862,2088
342119,1851
624851,3733
871142,3694
651209,2830
754333,2568
867829,1100
818765,4036
444288,2470
833443,3856
972711,1191
794555,4114
465686,1568
361570,4243
702684,4478
537614,2227
167590,1446
56423,3201
276704,3975
177938,2060
21285,3381
333216,1540
688890,3730
116146,1130
11346,4207
943604,1931
964232,4868
313949,1840
20932,3556
758599,1392
505504,3452
705154,4537
565632,2140
916222,1142
777622,4993
246393,1310
213495,1630
529280,1702
739135,3799
988630,3091
177750,4861
490324,3093
920174,3393
92352,2418
816127,2502
798741,1845
336746,4182
124496,2469
227747,2961
11190,3797
717583,1543
437043,3432
20226,1281
769431,2951
207656,4046
49578,3078
310683,2660
350507,1928
632215,1190
585447,4513
896383,3687
625746,2510
48012,1146
370641,2608
382601,4403
457918,4468
955202,1039
642272,1459
457333,3031
896225,1233
498414,4030
351345,4302
693042,3421
938168,4079
222402,2255
515950,3848
183320,1235
621306,4351
22124,3685
84294,3017
545043,4787
517639,2912
527544,1621
115101,3827
644588,1451
498369,2065
887706,1090
37123,4767
359410,1834
971243,4619
144633,2118
81370,1389
983959,2883
534528,1774
593582,1076
806937,2596
621654,4837
598362,2498
228890,3243
873515,2608
105343,3458
864608,1079
595830,1816
791591,2722
414577,2615
879974,3847
153840,3837
619284,2040
228448,3304
990567,2742
939081,3943
872265,4395
471992,2490
927195,1490
509799,4081
247544,1180
175735,1217
592916,2736
214600,1235
435839,3951
11622,3905
89071,4728
440685,3659
254676,1662
380838,1858
380775,1664
612675,1530
111644,1964
650820,4164
182583,3524
67570,4753
885615,2027
496949,4608
618640,2232
211512,1835
518279,4627
231295,1900
696818,3019
241137,3163
178731,3001
801505,3946
491514,3821
630655,3447
890476,1871
358741,4586
67353,1665
468528,2118
332532,4702
391781,4740
896544,1952
840067,3525
493727,3852
105,1517
114428,2578
167399,1399
595091,3555
508883,1559
549821,3463
871724,4853
474932,4797
27423,3795
252885,4073
57815,3870
915390,3851
179998,4416
710329,4452
259856,4195
954110,4670
112504,2577
222909,2708
441565,3075
211898,2752
248965,1411
814541,2021
731429,1355
430374,1147
253489,1541
878618,2824
954190,3658
973446,3703
507570,4212
162128,1523
138680,3181
908730,1843
724347,1345
173331,4949
538035,3269
62465,1567
547512,3274
993791,4644
924827,1382
845588,3915
75895,1209
529851,3691
519269,4747
455942,3205
348719,1443
457140,1881
379025,4645
89639,4377
756272,2580
451781,4631
432254,1607
829036,1606
331682,2009
881278,4717
256280,3905
402077,3901
576590,4001
159915,4770
51298,3798
215196,4790
175238,3075
68300,1549
555833,2321
130387,3543
944952,2118
697971,2391
898456,2738
886578,4723
683427,3248
651917,1374
858370,1777
706037,3857
749689,3986
57913,4261
880240,3446
361673,2115
304873,1647
906508,1224
517714,1396
584130,3613
555936,3237
219102,4555
857472,2248
427120,3157
993604,3774
920497,4536
387752,4668
950956,1491
189510,2312
318590,1399
221129,1855
900707,4451
686491,1795
563971,1273
993048,1933
90503,2737
810021,2639
289168,3916
219589,2128
683798,4249
534177,2154
363332,1567
347603,2625
531976,1080
290309,4008
43976,4797
617207,2576
48720,2064
693240,1290
256574,2519
196178,1805
118216,1833
389203,4932
221839,1060
773872,4175
861886,4865
771447,1994
542880,2513
891336,3370
850237,4351
828427,4357
808480,4757
731369,2246
64874,4858
9521,4197
758467,4210
651608,3534
145653,1842
69701,1965
877655,3492
21094,3017
78685,4641
689440,3121
765570,2973
